lineage_id,output_file,output_record_id,output_column,output_value,output_unit,lineage_role,source_record_id,transformation_id,scenario_id,parent_input_ids,verification_status,notes
nodes.csv:C06:node_id,nodes.csv,C06,node_id,C06,configuration,identifier,NODE_C06,,,[],documented,
nodes.csv:C06:city,nodes.csv,C06,city,Ningbo,configuration,identifier,NODE_C06,,,[],documented,
nodes.csv:C06:province,nodes.csv,C06,province,Zhejiang,configuration,identifier,NODE_C06,,,[],documented,
nodes.csv:C06:latitude,nodes.csv,C06,latitude,29.8683,configuration,observed,NODE_C06,,,[],documented,
nodes.csv:C06:longitude,nodes.csv,C06,longitude,121.544,configuration,observed,NODE_C06,,,[],documented,
nodes.csv:C06:supplier_flag,nodes.csv,C06,supplier_flag,0,configuration,identifier,NODE_C06,,,[],documented,
nodes.csv:C06:candidate_dc_flag,nodes.csv,C06,candidate_dc_flag,1,configuration,identifier,NODE_C06,,,[],documented,
nodes.csv:C06:market_flag,nodes.csv,C06,market_flag,1,configuration,identifier,NODE_C06,,,[],documented,
nodes.csv:C07:node_id,nodes.csv,C07,node_id,C07,configuration,identifier,NODE_C07,,,[],documented,
nodes.csv:C07:city,nodes.csv,C07,city,Hefei,configuration,identifier,NODE_C07,,,[],documented,
nodes.csv:C07:province,nodes.csv,C07,province,Anhui,configuration,identifier,NODE_C07,,,[],documented,
nodes.csv:C07:latitude,nodes.csv,C07,latitude,31.8206,configuration,observed,NODE_C07,,,[],documented,
nodes.csv:C07:longitude,nodes.csv,C07,longitude,117.2272,configuration,observed,NODE_C07,,,[],documented,
nodes.csv:C07:supplier_flag,nodes.csv,C07,supplier_flag,0,configuration,identifier,NODE_C07,,,[],documented,
nodes.csv:C07:candidate_dc_flag,nodes.csv,C07,candidate_dc_flag,1,configuration,identifier,NODE_C07,,,[],documented,
nodes.csv:C07:market_flag,nodes.csv,C07,market_flag,1,configuration,identifier,NODE_C07,,,[],documented,
nodes.csv:C08:node_id,nodes.csv,C08,node_id,C08,configuration,identifier,NODE_C08,,,[],documented,
nodes.csv:C08:city,nodes.csv,C08,city,Jiaxing,configuration,identifier,NODE_C08,,,[],documented,
nodes.csv:C08:province,nodes.csv,C08,province,Zhejiang,configuration,identifier,NODE_C08,,,[],documented,
nodes.csv:C08:latitude,nodes.csv,C08,latitude,30.7461,configuration,observed,NODE_C08,,,[],documented,
nodes.csv:C08:longitude,nodes.csv,C08,longitude,120.7555,configuration,observed,NODE_C08,,,[],documented,
nodes.csv:C08:supplier_flag,nodes.csv,C08,supplier_flag,0,configuration,identifier,NODE_C08,,,[],documented,
nodes.csv:C08:candidate_dc_flag,nodes.csv,C08,candidate_dc_flag,1,configuration,identifier,NODE_C08,,,[],documented,
nodes.csv:C08:market_flag,nodes.csv,C08,market_flag,1,configuration,identifier,NODE_C08,,,[],documented,
nodes.csv:M09:node_id,nodes.csv,M09,node_id,M09,configuration,identifier,NODE_M09,,,[],documented,
nodes.csv:M09:city,nodes.csv,M09,city,Changzhou,configuration,identifier,NODE_M09,,,[],documented,
nodes.csv:M09:province,nodes.csv,M09,province,Jiangsu,configuration,identifier,NODE_M09,,,[],documented,
nodes.csv:M09:latitude,nodes.csv,M09,latitude,31.8112,configuration,observed,NODE_M09,,,[],documented,
nodes.csv:M09:longitude,nodes.csv,M09,longitude,119.9741,configuration,observed,NODE_M09,,,[],documented,
nodes.csv:M09:supplier_flag,nodes.csv,M09,supplier_flag,0,configuration,identifier,NODE_M09,,,[],documented,
nodes.csv:M09:candidate_dc_flag,nodes.csv,M09,candidate_dc_flag,0,configuration,identifier,NODE_M09,,,[],documented,
nodes.csv:M09:market_flag,nodes.csv,M09,market_flag,1,configuration,identifier,NODE_M09,,,[],documented,
nodes.csv:M10:node_id,nodes.csv,M10,node_id,M10,configuration,identifier,NODE_M10,,,[],documented,
nodes.csv:M10:city,nodes.csv,M10,city,Nantong,configuration,identifier,NODE_M10,,,[],documented,
nodes.csv:M10:province,nodes.csv,M10,province,Jiangsu,configuration,identifier,NODE_M10,,,[],documented,
nodes.csv:M10:latitude,nodes.csv,M10,latitude,31.9802,configuration,observed,NODE_M10,,,[],documented,
nodes.csv:M10:longitude,nodes.csv,M10,longitude,120.8943,configuration,observed,NODE_M10,,,[],documented,
nodes.csv:M10:supplier_flag,nodes.csv,M10,supplier_flag,0,configuration,identifier,NODE_M10,,,[],documented,
nodes.csv:M10:candidate_dc_flag,nodes.csv,M10,candidate_dc_flag,0,configuration,identifier,NODE_M10,,,[],documented,
nodes.csv:M10:market_flag,nodes.csv,M10,market_flag,1,configuration,identifier,NODE_M10,,,[],documented,
nodes.csv:M11:node_id,nodes.csv,M11,node_id,M11,configuration,identifier,NODE_M11,,,[],documented,
nodes.csv:M11:city,nodes.csv,M11,city,Taizhou (Jiangsu),configuration,identifier,NODE_M11,,,[],documented,
nodes.csv:M11:province,nodes.csv,M11,province,Jiangsu,configuration,identifier,NODE_M11,,,[],documented,
nodes.csv:M11:latitude,nodes.csv,M11,latitude,32.4555,configuration,observed,NODE_M11,,,[],documented,
nodes.csv:M11:longitude,nodes.csv,M11,longitude,119.9255,configuration,observed,NODE_M11,,,[],documented,
nodes.csv:M11:supplier_flag,nodes.csv,M11,supplier_flag,0,configuration,identifier,NODE_M11,,,[],documented,
nodes.csv:M11:candidate_dc_flag,nodes.csv,M11,candidate_dc_flag,0,configuration,identifier,NODE_M11,,,[],documented,
nodes.csv:M11:market_flag,nodes.csv,M11,market_flag,1,configuration,identifier,NODE_M11,,,[],documented,
nodes.csv:M12:node_id,nodes.csv,M12,node_id,M12,configuration,identifier,NODE_M12,,,[],documented,
nodes.csv:M12:city,nodes.csv,M12,city,Shaoxing,configuration,identifier,NODE_M12,,,[],documented,
nodes.csv:M12:province,nodes.csv,M12,province,Zhejiang,configuration,identifier,NODE_M12,,,[],documented,
nodes.csv:M12:latitude,nodes.csv,M12,latitude,30.0303,configuration,observed,NODE_M12,,,[],documented,
nodes.csv:M12:longitude,nodes.csv,M12,longitude,120.5821,configuration,observed,NODE_M12,,,[],documented,
nodes.csv:M12:supplier_flag,nodes.csv,M12,supplier_flag,0,configuration,identifier,NODE_M12,,,[],documented,
nodes.csv:M12:candidate_dc_flag,nodes.csv,M12,candidate_dc_flag,0,configuration,identifier,NODE_M12,,,[],documented,
nodes.csv:M12:market_flag,nodes.csv,M12,market_flag,1,configuration,identifier,NODE_M12,,,[],documented,
nodes.csv:M13:node_id,nodes.csv,M13,node_id,M13,configuration,identifier,NODE_M13,,,[],documented,
nodes.csv:M13:city,nodes.csv,M13,city,Huzhou,configuration,identifier,NODE_M13,,,[],documented,
nodes.csv:M13:province,nodes.csv,M13,province,Zhejiang,configuration,identifier,NODE_M13,,,[],documented,
nodes.csv:M13:latitude,nodes.csv,M13,latitude,30.8943,configuration,observed,NODE_M13,,,[],documented,
nodes.csv:M13:longitude,nodes.csv,M13,longitude,120.0868,configuration,observed,NODE_M13,,,[],documented,
nodes.csv:M13:supplier_flag,nodes.csv,M13,supplier_flag,0,configuration,identifier,NODE_M13,,,[],documented,
nodes.csv:M13:candidate_dc_flag,nodes.csv,M13,candidate_dc_flag,0,configuration,identifier,NODE_M13,,,[],documented,
nodes.csv:M13:market_flag,nodes.csv,M13,market_flag,1,configuration,identifier,NODE_M13,,,[],documented,
nodes.csv:M14:node_id,nodes.csv,M14,node_id,M14,configuration,identifier,NODE_M14,,,[],documented,
nodes.csv:M14:city,nodes.csv,M14,city,Wuhu,configuration,identifier,NODE_M14,,,[],documented,
nodes.csv:M14:province,nodes.csv,M14,province,Anhui,configuration,identifier,NODE_M14,,,[],documented,
