transformation_id,transformation_name,input_fields,input_units,formula,output_file,output_column,output_unit,rounding_rule,missing_value_rule,implementation_location,notes
T_DEMAND_WEIGHT_001,T_DEMAND_WEIGHT_001,value/sum(values),ratio,value/sum(values),processed outputs,demand_weight,ratio,"round(...,8)",fail on missing,scripts/build_all.py,implemented
T_MARKET_DEMAND_001,T_MARKET_DEMAND_001,weight*regional_total,tonnes/year,weight*regional_total,processed outputs,mu_annual_tonnes,tonnes/year,"round(...,6)",fail on missing,scripts/build_all.py,implemented
T_DAILY_DEMAND_001,T_DAILY_DEMAND_001,annual/days,tonnes/day,annual/days,processed outputs,mu_daily_tonnes,tonnes/day,"round(...,6)",fail on missing,scripts/build_all.py,implemented
T_DAILY_VARIANCE_001,T_DAILY_VARIANCE_001,(CV*mu_daily)^2,(tonnes/day)^2,(CV*mu_daily)^2,processed outputs,sigma2_daily,(tonnes/day)^2,"round(...,6)",fail on missing,scripts/build_all.py,implemented
T_RESERVATION_PRICE_001,T_RESERVATION_PRICE_001,price-production_cost,CNY/tonne,price-production_cost,processed outputs,v_i_baseline,CNY/tonne,none,fail on missing,scripts/build_all.py,implemented
T_DC_FIXED_COST_001,T_DC_FIXED_COST_001,rent*12*area*multiplier,CNY/year,rent*12*area*multiplier,processed outputs,f_j_cny_per_year,CNY/year,"round(...,2)",fail on missing,scripts/build_all.py,implemented
T_OSRM_METRE_KM_001,T_OSRM_METRE_KM_001,distance_m/1000,km,distance_m/1000,processed outputs,road_distance_km,km,"round(...,3)",fail on missing,scripts/build_all.py,implemented
T_TRANSPORT_COST_001,T_TRANSPORT_COST_001,distance*rate,CNY/tonne,distance*rate,processed outputs,transport_cost_baseline,CNY/tonne,"round(...,6)",fail on missing,scripts/build_all.py,implemented
T_CONFIG_MAPPING_001,Configuration mapping,baseline.json,configuration,direct mapping,case_config.json,*,configuration,preserve JSON,fail on missing,scripts/build_all.py,implemented
