dc_id,market_id,city,current_distance_km,candidate_distance_km,annual_demand_tonnes,transport_rate_cny_per_tonne_km,transport_emission_factor_tco2e_per_tonne_km,cost_cny_per_tonne,emission_tco2e_per_tonne,delta_cost_cny_per_tonne,delta_emission_tco2e_per_tonne,annual_cost_if_all_local_demand_served,annual_emission_if_all_local_demand_served,delta_annual_cost,delta_annual_emission
C02,C02,Nanjing,0.0,20,68562.117509,0.39,6.996e-05,7.800000000000001,0.0013992,7.800000000000001,0.0013992,534784.5165702001,95.93211481859281,534784.5165702001,95.93211481859281
C02,C02,Nanjing,0.0,30,68562.117509,0.39,6.996e-05,11.700000000000001,0.0020988,11.700000000000001,0.0020988,802176.7748553001,143.8981722278892,802176.7748553001,143.8981722278892
C03,C03,Suzhou,0.0,0,147172.461993,0.39,6.996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C03,C03,Suzhou,0.0,5,147172.461993,0.39,6.996e-05,1.9500000000000002,0.0003498,1.9500000000000002,0.0003498,286986.30088635004,51.4809272051514,286986.30088635004,51.4809272051514
C03,C03,Suzhou,0.0,10,147172.461993,0.39,6.996e-05,3.9000000000000004,0.0006996,3.9000000000000004,0.0006996,573972.6017727001,102.9618544103028,573972.6017727001,102.9618544103028
C03,C03,Suzhou,0.0,15,147172.461993,0.39,6.996e-05,5.8500000000000005,0.0010494,5.8500000000000005,0.0010494,860958.9026590501,154.4427816154542,860958.9026590501,154.4427816154542
C03,C03,Suzhou,0.0,20,147172.461993,0.39,6.996e-05,7.800000000000001,0.0013992,7.800000000000001,0.0013992,1147945.2035454002,205.9237088206056,1147945.2035454002,205.9237088206056
C03,C03,Suzhou,0.0,30,147172.461993,0.39,6.996e-05,11.700000000000001,0.0020988,11.700000000000001,0.0020988,1721917.8053181001,308.8855632309084,1721917.8053181001,308.8855632309084
C04,C04,Wuxi,0.0,0,90725.643356,0.39,6.996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C04,C04,Wuxi,0.0,5,90725.643356,0.39,6.996e-05,1.9500000000000002,0.0003498,1.9500000000000002,0.0003498,176915.00454420003,31.7358300459288,176915.00454420003,31.7358300459288
C04,C04,Wuxi,0.0,10,90725.643356,0.39,6.996e-05,3.9000000000000004,0.0006996,3.9000000000000004,0.0006996,353830.00908840005,63.4716600918576,353830.00908840005,63.4716600918576
